question_id,evaluation_group,category,question,expected_criteria,common_failures,model,status,latency_seconds,response,error,thinking_removed,assistant_score_1_5,assistant_notes,manual_correct,manual_score_1_5,manual_notes
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,gemma3:270m,ok,9.01,"¡Excelente! Aquí está la respuesta a tu pregunta sobre la autonomía del TITO S5, basándome en el contexto de la empresa CORADIR MOVILIDAD ELÉCTRICA:

Respuesta: El TITO S5 tiene una autonomía de 300 km.",,False,3,Respuesta parcialmente correcta.,,,
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,granite4:350m,ok,1.32,"La bateria del TITO S5-300 tiene una autonomía de 21,000 ciclos. Para cargarla, puede usar un enchufe 220V 50Hz para completar la carga en aproximadamente 8 horas. La nueva tecnología de carga rápida reduce el tiempo de carga a aproximadamente 2 horas.",,False,4,"Respuesta mayormente correcta, con omisiones.",,,
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,lfm2.5-thinking:1.2b,thinking_only,2.02,,El modelo devolvio solo razonamiento thinking y no una respuesta final.,True,1,No evaluable: thinking_only. El modelo devolvio solo razonamiento thinking y no una respuesta final.,,,
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,qwen3.5:0.8b,ok,2.59,"El TITO S5 tiene una autonomía de 300 km. Para la carga, el vehículo admite recarga parciales y la tecnología de carga rápida reduce el tiempo de carga de 6-8 horas a aproximadamente 2 horas.",,False,4,"Respuesta mayormente correcta, con omisiones.",,,
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,deepseek-r1:1.5b,ok,1.57,"Tito S5 tiene una autonomía de 300 km. El sistema de carga rápido reduce el tiempo de recarga de la batería a aproximadamente 2 horas, brindando mayor eficiencia y flexibilidad en la navegación.",,False,4,"Respuesta mayormente correcta, con omisiones.",,,
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,llama3.2:3b,ok,2.44,"El TITO S5-300 tiene una autonomía de 300 Km. Se puede cargar mediante enchufe 220V 50hz - Ficha 2073, que admite recarga parciales y tarda aproximadamente 8 horas para cargar completamente en un enchufe convencional.",,False,4,"Respuesta mayormente correcta, con omisiones.",,,
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,granite4.1:3b,ok,2.74,"El TITO S5-300 tiene una autonomía de 300 km. Se carga mediante enchufe de 220V a 50Hz, utilizando la ficha 2073, con un tiempo de carga aproximado de 8 horas. También admite recargas parciales para mayor comodidad.",,False,5,Cubre la mayoria de criterios esperados.,,,
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,nemotron-3-nano:4b,ok,3.12,"El TITO S5 tiene una autonomía de 300 km y se carga con un enchufe 220V 50hz, la ficha es 2073, el tiempo de carga es de 8 horas y admite recargas parciales.",,False,4,"Respuesta mayormente correcta, con omisiones.",,,
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,qwen3.5:4b,ok,6.24,"¡Hola! Qué buena pregunta, porque el TITO S5-300 es un verdadero héroe para la movilidad urbana, con una autonomía de 300 kilómetros que te permite recorrer grandes distancias sin preocuparte. 🚗⚡

Se carga de dos formas: con un enchufe normal de 220V (que toma unas 8 horas) o con la ficha 2073, que es súper rápida y reduce el tiempo de carga a solo unas 2 horas. ¡Además, admití cargas parciales para que no tengas que esperar a que la batería se agote!

¿Te gustaría saber más sobre algún color disponible o quizás ver cómo es el interior? Podés mirarlo todo en la sección de vehículos de nuestro sitio web: https://movilidad.coradir.com.ar/",,False,4,"Respuesta mayormente correcta, con omisiones.",,,
factual_tito_s5_autonomia_carga,factual_clara,vehiculos,Cuanta autonomia tiene el TITO S5 y como se carga?,Debe mencionar autonomia de 300 km. | Debe mencionar carga en 220V. | Debe mencionar tiempo aproximado de 7 a 8 horas o 8 horas segun contexto.,Omite autonomia. | Confunde TITO S5 con otro modelo. | Inventa carga rapida como default.,qwen3.5:latest,ok,8.73,"¡Hola! 👋 Qué buena pregunta sobre el TITO S5. Este modelo tiene una autonomía de 300 km, ideal para tu día a día en la ciudad 🚗💨.

En cuanto a la carga, se realiza con un enchufe de 220V y normalmente toma entre 7 y 8 horas para una carga completa. ¡Pero ojo! Con nuestra tecnología de carga rápida, ese tiempo se reduce a solo unas 2 horas, lo que te da mucha más flexibilidad para no esperar tanto ⏳🔋. Además, admite cargas parciales, así que podés cargarlo en cualquier momento sin necesidad de vaciar la batería.

¿Te gustaría saber más sobre las versiones con aire acondicionado o quizás conocer a los otros modelos como el TITA o el CHIKI? ¡Están increíbles! 😊",,False,4,"Respuesta mayormente correcta, con omisiones.",,,
