case_id,category,question,rank,retrieval_mode,keyword_score,vector_rank,matches_expected_source,expected_sources,source_path,title,section,content_token_count,question_token_overlap,expected_keyword_overlap,response_token_support,expected_keyword_hits,content_excerpt
tito_s5_autonomia_carga,vehiculos,¿Cuánta autonomía tiene el TITO S5 y cómo se carga?,1,keyword,12,,True,vehiculos_detalles.TITO,vehiculos_detalles.TITO.modelos_disponibles[1],Modelo TITO S5-300,vehiculos_detalles,131,1.0,1.0,1.0,220v | 300 | horas | km,"nombre: TITO S5-300 descripcion: Evolución del TITO S2 con avanzada tecnología y características innovadoras, demostrando el compromiso con la evolución constante. Ahora disponible únicamente en versión 300km. versiones disponibles: TITO S5-300: autonomía:..."
tito_s5_autonomia_carga,vehiculos,¿Cuánta autonomía tiene el TITO S5 y cómo se carga?,2,keyword,10,,False,vehiculos_detalles.TITO,todos_los_vehiculos_disponibles.TITO S5,Disponibilidad TITO S5,disponibilidad_vehiculos,13,0.5,0.25,0.1765,300,modelos disponibles: - TITO S5-300 - TITO S5-300 AA disponibilidad: Inmediata - Unidades limitadas
tito_s5_autonomia_carga,vehiculos,¿Cuánta autonomía tiene el TITO S5 y cómo se carga?,3,vector,,1,False,vehiculos_detalles.TITO,Precios_Vehiculos_Actualizados.TITO S5,Precios TITO S5,precios,21,0.5,0.25,0.1765,300,"TITO S5-300: precio: USD 16.981,25 disponibilidad: Inmediata - Unidades limitadas TITO S5-300 AA: precio: USD 17.731,25 disponibilidad: Inmediata - Unidades limitadas"
tito_s5_aa_precio,precios,¿Cuál es el precio del TITO S5-300 AA?,1,keyword,20,,True,Precios_Vehiculos_Actualizados.TITO S5.TITO S5-300 AA,Precios_Vehiculos_Actualizados.TITO S5.TITO S5-300,Precio TITO S5-300,precios,7,0.2,0.5,0.75,usd,"precio: USD 16.981,25 disponibilidad: Inmediata - Unidades limitadas"
tito_s5_aa_precio,precios,¿Cuál es el precio del TITO S5-300 AA?,2,keyword,20,,True,Precios_Vehiculos_Actualizados.TITO S5.TITO S5-300 AA,Precios_Vehiculos_Actualizados.TITO S5.TITO S5-300 AA,Precio TITO S5-300 AA,precios,7,0.2,1.0,0.75,17.731.25 | usd,"precio: USD 17.731,25 disponibilidad: Inmediata - Unidades limitadas"
tito_s5_aa_precio,precios,¿Cuál es el precio del TITO S5-300 AA?,3,vector,,1,True,Precios_Vehiculos_Actualizados.TITO S5.TITO S5-300 AA,Precios_Vehiculos_Actualizados.TITO S5,Precios TITO S5,precios,21,1.0,1.0,1.0,17.731.25 | usd,"TITO S5-300: precio: USD 16.981,25 disponibilidad: Inmediata - Unidades limitadas TITO S5-300 AA: precio: USD 17.731,25 disponibilidad: Inmediata - Unidades limitadas"
tito_s5_aa_precio,precios,¿Cuál es el precio del TITO S5-300 AA?,4,vector,,3,False,Precios_Vehiculos_Actualizados.TITO S5.TITO S5-300 AA,todos_los_vehiculos_disponibles.TITO S5,Disponibilidad TITO S5,disponibilidad_vehiculos,13,0.8,0.0,0.0,,modelos disponibles: - TITO S5-300 - TITO S5-300 AA disponibilidad: Inmediata - Unidades limitadas
tito_s5_aa_precio,precios,¿Cuál es el precio del TITO S5-300 AA?,5,vector,,5,False,Precios_Vehiculos_Actualizados.TITO S5.TITO S5-300 AA,Precios_Vehiculos_Actualizados.TITO S2,Precios TITO S2,precios,21,0.8,0.5,0.5,usd,"TITO S2-300: precio: USD 15.972,50 disponibilidad: Inmediata - Unidades limitadas TITO S2-300 AA: precio: USD 16.722,50 disponibilidad: Inmediata - Unidades limitadas"
tita_s2_capacidad,vehiculos,¿Qué capacidad de carga y de pasajeros tiene la TITA S2-300?,1,keyword,17,,True,vehiculos_detalles.TITA S2 300,vehiculos_detalles.TITA S2 300,Ficha tecnica TITA S2 300,vehiculos_detalles,221,0.8333,1.0,1.0,500 | kg | personas,"nombre: TITA S2-300 (también conocida como TITA 300) descripcion: Furgoneta eléctrica diseñada para satisfacer las necesidades de diversos sectores, con la combinación perfecta de capacidad, seguridad y sostenibilidad. Única versión TITA pickup disponible a..."
tita_s2_capacidad,vehiculos,¿Qué capacidad de carga y de pasajeros tiene la TITA S2-300?,2,keyword,15,,True,vehiculos_detalles.TITA S2 300,vehiculos_detalles.TITA S2 300.versiones_disponibles.TITA S2-300,Version TITA S2-300,vehiculos_detalles,5,0.1667,0.0,0.0,,autonomía: 300 Km aire acondicionado: No
tita_s2_capacidad,vehiculos,¿Qué capacidad de carga y de pasajeros tiene la TITA S2-300?,3,vector,,1,False,vehiculos_detalles.TITA S2 300,todos_los_vehiculos_disponibles.TITA S2,Disponibilidad TITA S2,disponibilidad_vehiculos,12,0.5,0.0,0.0,,modelos disponibles: - TITA S2-300 - TITA S2-300 AA disponibilidad: ENTREGA INMEDIATA
tita_s2_capacidad,vehiculos,¿Qué capacidad de carga y de pasajeros tiene la TITA S2-300?,4,vector,,5,False,vehiculos_detalles.TITA S2 300,Precios_Vehiculos_Actualizados.TITO S2,Precios TITO S2,precios,21,0.3333,0.0,0.0,,"TITO S2-300: precio: USD 15.972,50 disponibilidad: Inmediata - Unidades limitadas TITO S2-300 AA: precio: USD 16.722,50 disponibilidad: Inmediata - Unidades limitadas"
tita_furgon_refrigerado_precio,precios,¿Cuánto cuesta la TITA S2 300 AA con furgón refrigerado?,1,keyword,26,,True,Precios_Vehiculos_Actualizados.TITA S2.TITA S2 300 AA con Furgón Refrigerado,Precios_Vehiculos_Actualizados.TITA S2.TITA S2 300 AA con Furgón Refrigerado,Precio TITA S2 300 AA con Furgón Refrigerado,precios,21,1.0,1.0,0.6667,23.632.00 | usd,"precio: USD 23.632,00 aclaración: El precio 23.632,00 se obtiene de sumar a 17.731,25 USD (precio de TITA S2 300 AA) el accesorio furgón refrigerado que cuesta 5.900 USD"
